INSEE,Latitude,Longitude
01001,46.15,4.91667
01002,46,5.41667
01004,45.95,5.35
01005,46,4.9
01006,45.75,5.6
01007,46,5.35
01008,45.9333,5.33333
01009,45.8,5.65
01010,45.9167,5.80833
01011,46.2083,5.65833
01012,46,5.5
01013,45.9,5.48333
01014,46.3,5.68333
01015,45.7333,5.65
01016,46.4667,4.96667
01017,45.9333,5.48333
01019,45.85,5.58333
01021,45.9833,4.81667
01022,45.8667,5.7
01023,46.3833,4.88333
01024,46.2833,5.16667
01025,46.3167,4.95
01026,46.3,4.93333
01027,45.8333,5.1
01028,46.1167,4.9
01029,46.4,5.26667
01030,46.002,4.75139
01031,46.25,5.61667
01032,45.8667,5.11667
01033,46.1,5.81667
01034,45.7667,5.68333
01035,46.25,5.76667
01036,45.8795,5.66167
01037,45.8333,5.48333
01038,46.3333,5.28333
01039,45.8333,5.75
01040,46.3667,5.05
01041,45.9333,5.36667
01042,46.2167,4.85
01043,45.8333,5
01044,46.0667,5.78333
01045,45.95,5.03333
01046,46.2167,4.93333
01047,45.85,5.25
01049,45.85,5.03333
01050,46.3833,5
01051,46.2,5.48333
01052,46.0167,5
01053,46.2,5.21667
01054,45.8833,5.16667
01056,46.0333,5.46667
01057,46.4,4.9
01058,45.65,5.61667
01059,45.95,5.71667
01060,46.0667,5.6
01061,45.7187,5.69473
01062,45.8667,5.1
01063,46.1728,5.55251
01064,45.7833,5.46667
01065,46.2,5.13333
01066,45.85,5.56667
01067,46.1167,5.5
01068,46.0833,5.46667
01069,46.1333,5.26667
01071,46.3167,6.06667
01072,46.1667,5.31667
01073,45.8333,5.73333
01074,46,5.16667
01075,46.0333,4.8
01076,45.95,5.53333
01077,46.1333,5.46667
01078,46.1833,5.96667
01079,45.9,5.68333
01080,46.0167,5.6
01081,46.2,5.81667
01082,46,5.78333
01083,46.1,4.85
01084,46.1833,5.03333
01085,46.0667,5.03333
01087,46.1833,5.68333
01088,45.8667,5.21667
01089,45.9667,5.3
01090,46.0333,5.2
01091,46.1333,5.78333
01092,45.9667,5.25
01093,46.1167,4.96667
01094,46.4333,5
01095,46.2667,5.41667
01096,46.1833,5.06667
01097,45.8833,5.7
01098,45.8,5.68333
01099,45.9,5.25
01100,45.8333,5.61667
01101,46.1167,5.58333
01102,46.3833,4.95
01103,46.2833,6.03333
01104,46.2167,5.88333
01105,45.9167,4.88333
01106,46.2,5.43333
01107,45.9,5.43333
01108,46.3833,5.35
01109,46.1333,5.9
01110,45.7333,5.61667
01111,45.8833,5.46667
01112,46.1167,5.56667
01113,46.1667,5.08333
01114,46.15,5.81667
01115,46.2667,5.06667
01116,45.8,5.63333
01117,45.7333,5.6
01118,45.95,5.81667
01119,46.0333,5.58333
01121,46.0333,5.5
01122,45.95,5.6
01123,46.2333,4.83333
01124,46.45,5.23333
01125,46.2333,5.48333
01127,46.3333,5.36667
01128,46.4667,5.1
01129,45.9667,5.21667
01130,46.3,5.16667
01133,45.7667,5.76667
01134,46.2833,4.9
01135,46.2806,6.01251
01136,46.2167,4.88333
01138,45.85,5.78333
01139,46.4667,5.15
01140,46.2667,5.08333
01141,45.8192,5.67445
01142,45.85,5.06667
01143,46.3667,6.13333
01144,46.3417,4.99167
01145,46.0667,5.2
01146,46.1333,4.9
01147,46.4167,5.3
01148,46.3167,5.66667
01149,45.9833,5.36667
01150,46.2167,5.36667
01151,46.0667,5.31667
01152,46.21,5.74139
01153,46.3167,6.03333
01154,46.3333,5.18333
01155,45.9583,5.5
01156,45.9,5.11667
01157,46.0167,4.76667
01158,46.1667,5.91667
01159,46.3333,4.88333
01160,46.25,6.11667
01162,45.8167,5.73333
01163,46.3667,5.18333
01165,46.0667,4.8
01166,45.9833,4.78333
01167,46.2,4.83333
01169,46.1167,4.78333
01170,46.2,5.56667
01171,46.25,5.6
01172,46.3167,5.45
01173,46.3333,6.06667
01174,46.2333,5.76667
01175,46.4167,4.95
01176,46.0333,5.66667
01177,46.2,5.43333
01179,46.25,4.85
01180,46.3333,6.11667
01181,46.2167,5.6
01182,45.7167,5.56667
01183,46.1,4.78333
01184,46.1583,5.41667
01185,45.9667,5.6
01186,45.9,5.53333
01187,46,5.68333
01188,46.1833,4.88333
01189,46.05,5.78333
01190,45.7833,5.56667
01191,46.0333,5.53333
01192,46.2167,5.55
01193,45.65,5.63333
01194,45.9833,4.75
01195,46.2167,5.33333
01196,46.3667,5.11667
01197,46.15,5.33333
01198,45.95,5.1
01199,46.0333,5.41667
01200,46.1,5.48333
01202,45.9,5.35
01203,46.25,4.88333
01204,46.15,5.71667
01205,46.1333,5.83333
01206,46.05,5.53333
01207,45.9833,4.96667
01208,45.8,5.76667
01209,46.1,5.88333
01210,46.3,5.95
01211,46.1167,5.2
01212,46.4,5.15
01213,45.9167,5.3
01214,46.1667,5.46667
01215,46.0217,5.77834
01216,45.75,5.53333
01218,45.9333,5.71667
01219,45.8,5.51667
01221,45.9667,5.65
01224,45.7667,5.2
01225,46.0667,4.76667
01227,45.7833,5.71667
01228,46.1333,5.55
01229,46.3167,5.15
01230,46.4167,5.08333
01231,46.35,4.9
01232,46.3333,5.25
01233,45.7833,5.55
01234,45.8,5.71667
01235,46.0667,5.06667
01236,46.3333,5.06667
01237,46.2167,5.6
01238,45.9167,4.83333
